#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"distinguishedName";"Name";"OperatingSystem";"OperatingSystemVersion";"description";"OperatingSystemServicePack";"IPv4Address";"LastLogonDate";"PasswordLastSet"
"CN=SILOS,OU=Serveurs DI,DC=sabc,DC=cm";"SILOS";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-SILOS";;"10.96.7.144";"25/09/2025 12:59:40";
"CN=BALIFICH002,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALIFICH002";"Windows Server 2019 Standard";"10.0 (17763)";"Optimaint- Partage de fichiers-WINSRV19-10.100.1.132";;"10.103.244.3";"23/09/2025 23:22:03";
"CN=BALISCDP001,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALISCDP001";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  PC-WINSRV19-10.100.1.197";;"10.100.1.197";"24/09/2025 19:00:10";
"CN=KOUMTRACK001,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"KOUMTRACK001";"Windows Server 2016 Standard";"10.0 (14393)";"Temps de presence des camions-WINSRV16-10.100.1.120";;"10.100.1.120";"21/09/2025 20:04:31";
"CN=CM01BI101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"CM01BI101";"Windows Server 2016 Standard";"10.0 (14393)";"BI-Service d'aide ? la d?cision-WINSRV16-10.100.1.168";;"10.103.244.8";"26/09/2025 09:48:46";
"CN=BALITATT001,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALITATT001";"Windows Server 2019 Standard";"10.0 (17763)";"Temps d'Attente transporteurs Tiers-WINSRV19-10.100.1.216";;"10.100.1.216";"27/09/2025 08:07:48";
"CN=BALIGMAO001,OU=Serveurs DI,DC=sabc,DC=cm";"BALIGMAO001";"Windows Server 2016 Standard";"10.0 (14393)";"GMAO-WINSRV16-10.100.1.106";;"10.100.1.106";"30/09/2025 08:41:08";
"CN=SABCLCM101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCLCM101";"Windows Server 2016 Standard";"10.0 (14393)";"SERVEUR administration M3 -WINSRV16-10.100.1.41";;"10.103.244.34";"26/09/2025 10:48:12";
"CN=SABCSCCM101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCSCCM101";"Windows Server 2016 Standard";"10.0 (14393)";"Service d'infrastructure-WINSRV16-10.100.1.238";;"10.100.1.238";"29/09/2025 20:54:34";
"CN=SABCMOS601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMOS601";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.100.1.61";;"10.103.246.13";"21/09/2025 22:31:43";
"CN=SABCMOS201,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMOS201";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.100.1.45";;"10.103.245.10";"30/09/2025 00:00:51";
"CN=BALILIMS001,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS001";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.133";;"10.103.244.4";"24/09/2025 18:27:06";
"CN=SEMCUSIN001,OU=Serveurs,DC=sabc,DC=cm";"SEMCUSIN001";"Windows Server 2016 Standard";"10.0 (14393)";"SERVEUR INDUSTRIEL -WINSRV16-10.102.17.14";;"10.102.127.1";"23/09/2025 18:14:29";
"CN=SABCDHCP102,CN=Computers,DC=sabc,DC=cm";"SABCDHCP102";"Windows Server 2019 Standard";"10.0 (17763)";"DHCP-WINSRV19-10.100.1.27";;"10.100.1.27";"25/09/2025 22:59:08";
"CN=SABCDHCP101,CN=Computers,DC=sabc,DC=cm";"SABCDHCP101";"Windows Server 2019 Standard";"10.0 (17763)";"DHCP-WINSRV19-10.100.1.118";;"10.100.1.118";"23/09/2025 20:13:47";
"CN=YAOUMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"YAOUMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.97.1.3";;"10.97.244.2";"29/09/2025 08:52:43";
"CN=SABCMOS104,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMOS104";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.100.1.182";;"10.100.1.182";"26/09/2025 16:38:10";
"CN=SABCMOS102,CN=Computers,DC=sabc,DC=cm";"SABCMOS102";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.100.1.57";;"10.103.244.38";"27/09/2025 11:18:42";
"CN=MESCAVESNDOK,CN=Computers,DC=sabc,DC=cm";"MESCAVESNDOK";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-MESCAVESNDOK";;"10.96.7.147";"30/09/2025 02:43:45";
"CN=BALILIMS002,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS002";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.145";;"10.103.244.5";"29/09/2025 15:52:01";
"CN=SABCMDP101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMDP101";"Windows Server 2016 Standard";"10.0 (14393)";"ERP-M3-WINSRV16-10.100.1.37";;"10.103.244.15";"29/09/2025 06:04:41";
"CN=BALILIMS401,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS401";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.128";;"10.100.1.128";"30/09/2025 22:05:51";
"CN=YAOUSIN003,OU=Serveurs DI,DC=sabc,DC=cm";"YAOUSIN003";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-YAOUSIN003";;"10.253.120.12";"28/09/2025 02:49:21";
"CN=BAFOPCUT001,OU=Serveurs,DC=sabc,DC=cm";"BAFOPCUT001";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.98.1.2";;"10.98.1.2";"24/09/2025 03:00:23";
"CN=SABCMSQL201,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMSQL201";"Windows Server 2019 Standard";"10.0 (17763)";"BD ERP-M3 PPRD-WINSRV19-10.100.1.48";;"10.103.245.7";"29/09/2025 16:18:06";
"CN=BALIAMPLI601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALIAMPLI601";"Windows Server 2016 Standard";"10.0 (14393)";"Amplitude RH - PAIE PPRD-WINSRV16-10.100.1.173";;"10.100.1.173";"24/09/2025 22:41:13";
"CN=SIACFICH001,OU=Serveurs,DC=sabc,DC=cm";"SIACFICH001";"Windows Server 2016 Standard";"10.0 (14393)";"Partage de fichiers-WINSRV16-10.102.33.6";;"10.102.33.6";"22/09/2025 13:55:15";
"CN=NDOKMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"NDOKMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.96.1.3";;"10.96.1.3";"23/09/2025 03:01:49";
"CN=BALIPCUT002,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALIPCUT002";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.100.1.148";;"10.100.1.148";"21/09/2025 17:44:26";
"CN=OLEMMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"OLEMMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.97.93.131";;"10.97.93.131";"28/09/2025 03:15:45";
"CN=GAROPCUT001,OU=Serveurs,DC=sabc,DC=cm";"GAROPCUT001";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.99.1.6";;"10.99.1.6";"22/09/2025 19:06:11";
"CN=YAOUPCUT001,OU=Ordinateurs,OU=Siege,DC=sabc,DC=cm";"YAOUPCUT001";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.97.1.9";;"10.97.244.3";"23/09/2025 21:47:00";
"CN=BALILIMS003,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS003";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.147";;"10.103.244.6";"26/09/2025 02:09:32";
"CN=SABCISO601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCISO601";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-WINSRV19-10.100.1.62";;"10.103.246.12";"26/09/2025 22:39:05";
"CN=SABCPROJ601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCPROJ601";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion des Projets-WINSRV16-10.100.1.146";;"10.100.1.146";"01/08/2025 07:45:48";
"CN=SOCAMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"SOCAMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.102.1.3";;"10.102.1.3";"23/09/2025 11:48:13";
"CN=SABCKPI103,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCKPI103";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-SABCKPI103";;"10.100.1.161";"22/09/2025 17:48:06";
"CN=GAROMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"GAROMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.99.1.3";;"10.99.1.3";"27/09/2025 03:44:24";
"CN=BALILIMS601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS601";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.167";;"10.103.246.6";"01/10/2025 04:00:21";
"CN=SOUAPCUT001,OU=Serveurs,DC=sabc,DC=cm";"SOUAPCUT001";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.99.77.134";;"10.99.77.134";"25/09/2025 18:18:04";
"CN=SABCBUG101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCBUG101";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion des probl?mes-WINSRV16-10.100.1.49";;"10.100.1.49";"24/09/2025 10:00:56";
"CN=SABCMEC101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMEC101";"Windows Server 2016 Standard";"10.0 (14393)";"ERP-M3-WINSRV16-10.100.1.58";;"10.103.244.36";"27/09/2025 02:58:29";
"CN=SABCMSQL101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMSQL101";"Windows Server 2016 Standard";"10.0 (14393)";"BD ERP-M3-WINSRV16-10.100.1.52";;"10.103.244.39";"28/09/2025 23:04:15";
"CN=SABCSQINT601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCSQINT601";"Windows Server 2016 Standard";"10.0 (14393)";"Construction des packages SSIS pour M3 V13-WINSRV16-10.100.1.59";;"10.103.246.4";"30/09/2025 15:05:49";
"CN=SABCMSQL601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMSQL601";"Windows Server 2016 Standard";"10.0 (14393)";"BD ERP-M3 DEV-WINSRV16-10.100.1.66";;"10.103.246.11";"29/09/2025 06:15:10";
"CN=SABCMMIX101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCMMIX101";"Windows Server 2016 Standard";"10.0 (14393)";"ERP-M3 (MIMIX Replication)-WINSRV16-10.100.1.187";;"10.100.1.187";"30/09/2025 00:35:05";
"CN=SABCISO201,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCISO201";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-WINSRV19-10.100.1.46";;"10.103.245.9";"25/09/2025 20:24:37";
"CN=SABCSQRH101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCSQRH101";"Windows Server 2016 Standard";"10.0 (14393)";"Amplitude RH -Paie-WINSRV16-10.100.1.142";;"10.100.1.142";"24/09/2025 23:16:49";
"CN=SABCISO102,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCISO102";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-WINSRV19-10.100.1.55";;"10.103.244.31";"28/09/2025 03:24:08";
"CN=SABCSQRH601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCSQRH601";"Windows Server 2016 Standard";"10.0 (14393)";"Amplitude RH -Paie-WINSRV16-10.100.1.121";;"10.100.1.121";"30/09/2025 21:54:20";
"CN=SABCISO103,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCISO103";"Windows Server 2019 Standard";"10.0 (17763)";"ERP-M3-WINSRV19-10.100.1.54";;"10.103.244.32";"30/09/2025 09:29:23";
"CN=SIACMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"SIACMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.102.33.3";;"10.102.33.3";"25/09/2025 12:31:12";
"CN=SOCAPCUT001,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"SOCAPCUT001";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.102.1.5";;"10.102.1.5";"22/09/2025 11:37:08";
"CN=SOUAMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"SOUAMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.99.77.131";;"10.99.77.131";"26/09/2025 14:13:12";
"CN=BALILIMS201,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS201";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.102";;"10.103.245.4";"01/10/2025 07:12:50";
"CN=BALILIMS202,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"BALILIMS202";"Windows Server 2016 Standard";"10.0 (14393)";"Gestion Laboratoire -LIMS-WINSRV16-10.100.1.177";;"10.103.245.5";"22/09/2025 03:25:03";
"CN=YAOUBACK101,OU=Serveurs,DC=sabc,DC=cm";"YAOUBACK101";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  serveurs X86-WINSRV19-10.97.0.91";;"10.97.240.41";"21/09/2025 13:31:38";
"CN=SABCVPRX101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCVPRX101";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  serveurs X86-WINSRV19-10.100.3.96";;"10.100.3.96";"22/09/2025 11:05:35";
"CN=SABCSOC101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCSOC101";"Windows Server 2019 Standard";"10.0 (17763)";"Centralisation des Logs-WINSRV19-10.100.1.231";;"10.100.1.231";"01/10/2025 06:25:00";
"CN=SABCSQELO101,CN=Computers,DC=sabc,DC=cm";"SABCSQELO101";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion electronique des documents-WINSRV19-10.100.1.87";;"10.103.244.43";"27/09/2025 22:12:12";
"CN=SABCVPRX102,CN=Computers,DC=sabc,DC=cm";"SABCVPRX102";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  serveurs X86-WINSRV19-10.100.3.97";;"10.100.3.97";"26/09/2025 08:45:46";
"CN=SABCVPRX103,CN=Computers,DC=sabc,DC=cm";"SABCVPRX103";"Windows Server 2019 Standard";"10.0 (17763)";"sauvegarde  serveurs X86-VMWARE-SABCVPRX103";;"10.100.3.98";"26/09/2025 20:08:25";
"CN=SABCELO201,CN=Computers,DC=sabc,DC=cm";"SABCELO201";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion electronique des documents PPRD-WINSRV19-10.100.1.249";;"10.100.1.224";"23/09/2025 10:19:47";
"CN=SABCCONSO101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCCONSO101";"Windows Server 2019 Standard";"10.0 (17763)";"Portail Consommateur-WINSRV19-10.100.1.100";;"10.100.1.100";"30/09/2025 20:11:50";
"CN=SABCBPC103,CN=Computers,DC=sabc,DC=cm";"SABCBPC103";"Windows Server 2016 Standard";"10.0 (14393)";"Consolidation Budgetaire-WINSRV16-10.100.1.211";;"10.100.1.211";"21/09/2025 14:33:36";
"CN=SABCGLPI601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCGLPI601";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion des tickets d'incidents-WINSRV19-10.100.1.185";;"10.100.1.185";"25/09/2025 01:10:10";
"CN=SIACFICH002,CN=Computers,DC=sabc,DC=cm";"SIACFICH002";"Windows Server 2016 Standard";"10.0 (14393)";"Partage de fichiers-WINSRV16-10.102.33.7";;"10.102.33.7";"27/09/2025 19:10:53";
"CN=SABCBPC101,CN=Computers,DC=sabc,DC=cm";"SABCBPC101";"Windows Server 2016 Standard";"10.0 (14393)";"Consolidation Budgetaire-WINSRV16-10.100.1.104";;"10.100.1.104";"25/09/2025 14:18:41";
"CN=SABCGED101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCGED101";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion electronique des documents-WINSRV19-10.100.1.89";;"10.103.244.27";"27/09/2025 19:52:45";
"CN=SABCBPC601,CN=Computers,DC=sabc,DC=cm";"SABCBPC601";"Windows Server 2016 Standard";"10.0 (14393)";"Consolidation Budgetaire PPRD-WINSRV16-10.100.1.157";;"10.100.1.157";"21/09/2025 18:17:32";
"CN=SABCFUTU601,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCFUTU601";"Windows Server 2016 Standard";"10.0 (14393)";"Prevision des ventes DEV-WINSRV16-10.100.1.65";;"10.100.1.65";"25/09/2025 10:07:54";
"CN=SABCBIOM101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCBIOM101";"Windows Server 2016 Standard";"10.0 (14393)";"Pointage et de contr?le d'acc?s-WINSRV16-10.100.1.225";;"10.100.1.225";"23/09/2025 08:10:29";
"CN=BONAMOS101,OU=MOS,OU=Serveurs,DC=sabc,DC=cm";"BONAMOS101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition MOS-WINSRV19-10.96.17.3";;"10.96.122.2";"29/09/2025 07:08:20";
"CN=SABCSQELO201,CN=Computers,DC=sabc,DC=cm";"SABCSQELO201";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion electronique des documents-WINSRV19-10.100.1.248";;"10.100.1.248";"26/09/2025 14:59:50";
"CN=SABCASCO101,CN=Computers,DC=sabc,DC=cm";"SABCASCO101";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion Assurance ASCOMA-WINSRV19-10.100.1.252";;"10.100.1.252";"30/09/2025 18:10:48";
"CN=SABCMASS601,CN=Computers,DC=sabc,DC=cm";"SABCMASS601";"Windows Server 2019 Standard";"10.0 (17763)";"ALLSHARE DEV-WINSRV19-10.100.1.143";;"10.100.1.143";"28/09/2025 13:27:39";
"CN=SABCELO101,CN=Computers,DC=sabc,DC=cm";"SABCELO101";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion electronique des documents-WINSRV19-10.100.1.92";;"10.103.244.24";"29/09/2025 14:56:12";
"CN=SABCBPC603,CN=Computers,DC=sabc,DC=cm";"SABCBPC603";"Windows Server 2016 Standard";"10.0 (14393)";"Consolidation Budgetaire PPRD-WINSRV16-10.100.1.156";;"10.100.1.156";"29/09/2025 10:05:10";
"CN=SABCLEARN101,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCLEARN101";"Windows Server 2019 Standard";"10.0 (17763)";"E_Learning-WINSRV19-10.100.1.200";;"10.103.244.35";"28/09/2025 13:49:36";
"CN=SABCBIOM102,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCBIOM102";"Windows Server 2016 Standard";"10.0 (14393)";"Biometrie-WINSRV16-10.100.1.226";;"10.100.1.226";"25/09/2025 10:20:18";
"CN=SABCPROJ102,OU=SIEGE-SERVEURS,DC=sabc,DC=cm";"SABCPROJ102";"Windows Server 2019 Standard";"10.0 (17763)";"Gestion des Projets-WINSRV19-10.100.1.112";;"10.100.1.112";"01/08/2025 04:12:57";
"CN=MESCAVESKOUM,CN=Computers,DC=sabc,DC=cm";"MESCAVESKOUM";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-MESCAVESKOUM";;"10.96.75.134";"28/09/2025 12:57:33";
"CN=SABCUPCUT101,CN=Computers,DC=sabc,DC=cm";"SABCUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.100.1.165";;"10.100.1.165";"21/09/2025 15:45:02";
"CN=MESFILTKOUM,CN=Computers,DC=sabc,DC=cm";"MESFILTKOUM";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -VMWARE-MESFILTKOUM";;"10.253.100.205";"30/09/2025 23:49:34";
"CN=BALIDCIRA001,CN=Computers,DC=sabc,DC=cm";"BALIDCIRA001";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR USINE-WINSRV19-10.100.1.163";;"10.100.1.163";"25/09/2025 23:11:04";
"CN=SABCTSE102,CN=Computers,DC=sabc,DC=cm";"SABCTSE102";"Windows Server 2019 Standard";"10.0 (17763)";"DIMOMAINT-WINSRV19-10.100.1.152";;"10.103.244.47";"24/09/2025 17:49:50";
"CN=SABCKPI606,CN=Computers,DC=sabc,DC=cm";"SABCKPI606";"Windows Server 2019 Standard";"10.0 (17763)";"SERVEUR INDUSTRIEL -WINSRV19-10.100.1.162";;"10.100.1.162";"22/09/2025 02:52:10";
"CN=SABCCRM101,CN=Computers,DC=sabc,DC=cm";"SABCCRM101";"Windows Server 2016 Standard";"10.0 (14393)";"CRM-WINSRV2016-10.100.1.215";;"10.103.244.14";"29/09/2025 21:42:35";
"CN=SABCPERM101,CN=Computers,DC=sabc,DC=cm";"SABCPERM101";"Windows Server 2019 Standard";"10.0 (17763)";"Permis ? point-conducteur-WINSRV19-10.100.1.117";;"10.100.1.117";"30/09/2025 19:05:30";
"CN=OLEMUPCUT101,CN=Computers,DC=sabc,DC=cm";"OLEMUPCUT101";"Windows Server 2019 Standard";"10.0 (17763)";"Edition Bureautique -WINSRV19-10.97.93.139";;"10.97.93.139";"29/09/2025 20:48:30";
"CN=OLEMPDDK101,CN=Computers,DC=sabc,DC=cm";"OLEMPDDK101";"Windows Server 2019 Standard";"10.0 (17763)";"Relais D?ploiement d'applications-WINSRV19-10.97.93.138";;"10.97.93.138";"24/09/2025 09:07:26";
"CN=SABCVPRX104,CN=Computers,DC=sabc,DC=cm";"SABCVPRX104";"Windows Server 2019 Standard";"10.0 (17763)";"Sauvegarde  serveurs X86-WINSRV19-10.100.3.99";;"10.100.3.99";"28/09/2025 01:58:08";
"CN=SOCAMSQL101,CN=Computers,DC=sabc,DC=cm";"SOCAMSQL101";"Windows Server 2019 Standard";"10.0 (17763)";"serveur de BD socaver-WINSRV19-10.102.1.6";;"10.102.1.6";"28/09/2025 10:37:40";
