Computer Name,IP Address,Operating System,Provider Type,Count
CMRUCT22048.sabc.cm,"fe80::1fc1:1ac0:938a:274b
10.102.34.49",Windows 10 Entreprise,Tanium Client,1
CMRLPT23050.sabc.cm,"fe80::9832:753c:331e:1bd
10.96.2.4",Windows 11 Entreprise,Tanium Client,1
SIACUPCUT101.sabc.cm,"fe80::86dd:675e:2ab:dc12
10.102.33.9",Windows Server 2019 Standard,Tanium Client,1
CMRUCT23219.sabc.cm,"fe80::79a2:c34a:5358:b0e1
fe80::51b:38b3:1f01:6ab5
2c0f:2a80:9ff:4b08:6fdf:606d:b93a:f10d
2c0f:2a80:9ff:4b00:c688:de99:cf0d:5d9b
192.168.100.4
192.168.1.242
fdab:c203:7cb9:8:7907:5207:9008:c3a
fdab:c203:7cb9:0:2f34:a3de:1016:507b",Windows 11 Entreprise,Tanium Client,1
EFISERVEUR2.sabc.cm,"fe80::39d6:80c6:f979:b262
fe80::99ba:30a6:82d3:9513
10.98.7.178
10.220.175.115",Windows Server 2019 Standard,Tanium Client,1
CMRLPT24150.sabc.cm,"fe80::af74:2815:1775:8d2b
192.168.6.193",Windows 10 Entreprise,Tanium Client,1
CMRUCT20096.sabc.cm,"fe80::cbb4:c458:2184:a230
10.98.2.88",Windows 11 Entreprise,Tanium Client,1
CMRLPT21005.sabc.cm,"fe80::bc9:ee7e:a914:5213
10.96.113.37",Windows 10 Entreprise,Tanium Client,1
CMRUCT23169.sabc.cm,"fe80::4fa9:b9c7:1e3b:fbf4
10.102.34.81",Windows 10 Entreprise,Tanium Client,1
CMRLPT22057.sabc.cm,"fe80::956e:e2dd:1e43:b63f
10.100.0.106",Windows 11 Entreprise,Tanium Client,1
CMRLPT19194.sabc.cm,"fe80::94df:a559:dfa4:4c9e
10.100.0.237",Windows 10 Entreprise,Tanium Client,1
CMRUCT21034.sabc.cm,"fe80::954b:1e35:3e46:796e
10.99.2.1",Windows 11 Entreprise,Tanium Client,1
CMRLPT24172.sabc.cm,"fe80::f4e9:ba36:f08a:adfa
10.102.8.59",Windows 10 Entreprise,Tanium Client,1
CMRUCT24132.sabc.cm,"fe80::1a75:83d7:b4e0:d922
10.96.161.43",Windows 10 Entreprise,Tanium Client,1
CMRUCT25035.sabc.cm,"fe80::b65f:85bc:f42:cc3f
10.96.0.24",Windows 11 Entreprise,Tanium Client,1
CMRUCT24065.sabc.cm,"fe80::e277:d77e:b46c:5205
10.97.224.38",Windows 11 Entreprise,Tanium Client,1
CMRLPT23154.sabc.cm,"fe80::494b:8a41:ae8d:6caf
10.98.0.49
10.75.156.84
fe80::b286:c139:4a85:bcd6",Windows 10 Entreprise,Tanium Client,1
CMRUCT22044.sabc.cm,"fe80::1803:49d4:65a1:6c9c
10.100.4.10",Windows 11 Entreprise,Tanium Client,1
CMRLPT23013.sabc.cm,"fe80::d2b7:f033:7368:8c94
192.168.221.237",Windows 10 Entreprise,Tanium Client,1
CMRLPT24047.sabc.cm,"fe80::495:4e8b:4d45:6d0
10.102.8.79",Windows 11 Entreprise,Tanium Client,1
CMRLPT21091.sabc.cm,"fe80::e7a6:dd7d:846d:1946
10.102.34.25",Windows 11 Entreprise,Tanium Client,1
CMRLPT20021.sabc.cm,"fe80::d942:58b6:b0f5:c06c
10.96.113.34",Windows 10 Entreprise,Tanium Client,1
CMRUCT23089.sabc.cm,"fe80::a39a:9d26:fecc:ac7c
10.96.112.18",Windows 10 Entreprise,Tanium Client,1
SABCDIMO101.sabc.cm,"::1
10.103.244.18",Windows Server 2019 Standard,Tanium Client,1
CMRLPT24135.sabc.cm,"fe80::e36d:8f8e:6ad4:d2f5
10.50.5.3",Windows 11 Entreprise,Tanium Client,1
CMRLPT23194.sabc.cm,"::1
127.0.0.1",Windows 10 Entreprise,Tanium Client,1
CMRLPT24103.sabc.cm,"fe80::daea:90a3:b408:1508
10.100.0.118",Windows 10 Entreprise,Tanium Client,1
CMRLPT25037.sabc.cm,"fe80::95d7:1e87:7546:5e07
10.240.61.225",Windows 10 Entreprise,Tanium Client,1
CMRUCT23245.sabc.cm,"fe80::c15b:7be0:407d:73c
10.98.2.98",Windows 10 Entreprise,Tanium Client,1
CMRLPT24124.sabc.cm,"fe80::8a1d:3834:637e:1262
10.100.0.213",Windows 10 Entreprise,Tanium Client,1
CMRLPT22042.sabc.cm,"fe80::cac7:5308:d4fe:4fc
10.96.0.27",Windows 11 Entreprise,Tanium Client,1
CMRUCT22116.sabc.cm,"fe80::1240:fa1b:1d33:18de
10.97.224.68",Windows 10 Entreprise,Tanium Client,1
CMRUCT25032.sabc.cm,"fe80::b22:6317:8c4c:2825
10.96.2.83",Windows 11 Entreprise,Tanium Client,1
CMRUCT23270.sabc.cm,"fe80::3dd5:d055:bf02:bd42
10.96.161.89",Windows 10 Entreprise,Tanium Client,1
SABCGLPI101.sabc.cm,"fe80::3db8:f002:b03b:11fb
10.100.1.222",Windows Server 2019 Standard,Tanium Client,1
CMRUCT21076.sabc.cm,"fe80::86fb:1539:4099:2eb1
10.102.34.38",Windows 11 Entreprise,Tanium Client,1
CMRLPT24206.sabc.cm,"fe80::2ae0:7dd5:bf78:346f
192.168.43.240",Windows 10 Entreprise,Tanium Client,1
CMRUCT23117.sabc.cm,"fe80::6048:55e0:1d36:706b
10.98.2.134",Windows 11 Entreprise,Tanium Client,1
CMRUCT23204.sabc.cm,"fe80::ee9f:c776:c698:a2b8
10.97.224.103",Windows 10 Entreprise,Tanium Client,1
CMRUCT24113.sabc.cm,"fe80::d503:2b06:d687:a8d0
10.102.9.227",Windows 11 Entreprise,Tanium Client,1
SABCWEB101.sabc.cm,"::1
10.103.244.48",Windows Server 2019 Standard,Tanium Client,1
SABCDHCP101.sabc.cm,"fe80::25c5:b191:8105:e3ea
10.100.1.118",Windows Server 2019 Standard,Tanium Client,1
CMRUCT20155.sabc.cm,"fe80::5673:8fa6:eaa1:3e7b
10.102.9.28",Windows 11 Entreprise,Tanium Client,1
CMRLPT19279.sabc.cm,"fe80::94ea:2d37:48c3:14
10.102.8.40",Windows 10 Entreprise,Tanium Client,1
CMRLPT24068.sabc.cm,"fe80::ebc4:ed17:15d0:8233
10.102.113.16",Windows 10 Entreprise,Tanium Client,1
CMRUCT21108.sabc.cm,"fe80::4e9b:6c63:d9f4:7e40
10.100.4.32",Windows 11 Entreprise,Tanium Client,1
CMRUCT19227.sabc.cm,"fe80::bba3:f499:1350:8600
10.102.34.61",Windows 10 Entreprise,Tanium Client,1
CMRUCT23016.sabc.cm,"fe80::7207:9dcd:8cf2:4b7e
10.97.52.3",Windows 10 Entreprise,Tanium Client,1
DTIPROJECT001.sabc.cm,"fe80::40c0:7d1c:5099:22a8
10.96.7.181",Windows Server 2019 Standard,Tanium Client,1
CMRUCT22032.sabc.cm,"fe80::aed8:5d9d:9ffc:631e
10.97.224.37",Windows 11 Entreprise,Tanium Client,1
SABCBPC103.sabc.cm,"fe80::4d55:2914:579:d1ce
10.100.1.211",Windows Server 2016 Standard,Tanium Client,1
CMRLPT22026.sabc.cm,"fe80::52eb:2436:eba0:2f9f
10.99.0.36",Windows 10 Entreprise,Tanium Client,1
BAFOSHARG101.sabc.cm,"fe80::7455:5047:d63c:dacc
10.98.1.17",Windows Server 2019 Standard,Tanium Client,1
CMRLPT22146.sabc.cm,"fe80::7a54:1a98:e6d7:ec6b
10.100.0.211",Windows 10 Entreprise,Tanium Client,1
SOUAPCUT001.sabc.cm,"fe80::29e3:2a4c:7f6d:bfe7
10.99.77.134",Windows Server 2019 Standard,Tanium Client,1
CMRUCT23224.sabc.cm,"fe80::6fc4:9161:4ad1:c027
10.96.2.94",Windows 11 Entreprise,Tanium Client,1
CMRLPT23076.sabc.cm,"fe80::25cd:53e:241e:d5a
10.96.113.17",Windows 10 Entreprise,Tanium Client,1
CMRUCT22045.sabc.cm,"fe80::2ca7:acf8:559b:9206
10.100.6.142",Windows 11 Entreprise,Tanium Client,1
CMRUCT20079.sabc.cm,"fe80::872c:7dba:bdee:58a4
10.98.2.35",Windows 10 Entreprise,Tanium Client,1
CMRUCT24107.sabc.cm,"fe80::eed2:77fc:33ad:b2e5
10.102.9.112",Windows 11 Entreprise,Tanium Client,1
CMRUCT23082.sabc.cm,"fe80::6e60:8a6b:1339:d70f
10.96.70.96",Windows 10 Entreprise,Tanium Client,1
SABCUPCUT102.sabc.cm,"fe80::61bc:a54f:52b:7a40
10.100.1.192",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23040.sabc.cm,"fe80::ea24:5f70:1f73:dbea
192.168.1.119",Windows 10 Entreprise,Tanium Client,1
SABCMOS201.sabc.cm,"::1
10.103.245.10",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21083.sabc.cm,"fe80::4452:2ec:fa80:ba9d
fe80::ad69:b5b6:aea9:bea0
10.100.5.52
10.100.0.53",Windows 11 Entreprise,Tanium Client,1
CMRLPT23056.sabc.cm,"fe80::c7b9:57f3:da78:34c1
fe80::7e08:50c1:ad12:dbdc
10.96.70.14
10.96.75.30",Windows 10 Entreprise,Tanium Client,1
cmruct22095.sabc.cm,"fe80::a99:4bba:f43a:df45
10.96.2.86",Windows 11 Entreprise,Tanium Client,1
CMRUCT23023.sabc.cm,"fe80::6c16:d974:9fcd:afdf
10.97.60.6",Windows 10 Entreprise,Tanium Client,1
CMRUCT22005.sabc.cm,"fe80::3859:3471:574f:a406
10.99.2.60",Windows 10 Entreprise,Tanium Client,1
CMRUCT24169.sabc.cm,"fe80::63ce:3c50:6c9:fa6c
10.97.224.201",Windows 10 Entreprise,Tanium Client,1
CMRUCT23076.sabc.cm,"fe80::17f4:af66:c69a:6617
10.96.36.4",Windows 10 Entreprise,Tanium Client,1
SABCSQSHAR101.sabc.cm,"::1
10.6.42.210
10.103.244.44",Windows Server 2019 Standard,Tanium Client,1
CMRLPT23019.sabc.cm,"fe80::e43b:3c8:5ecf:1cba
10.100.0.21",Windows 10 Entreprise,Tanium Client,1
CMRUCT23037.sabc.cm,"fe80::5774:e0e9:aa91:de28
10.97.52.12",Windows 11 Entreprise,Tanium Client,1
CMRUCT22113.sabc.cm,"fe80::36a:c745:6931:15e7
10.96.2.105",Windows 10 Entreprise,Tanium Client,1
CMRUCT24160.sabc.cm,"fe80::2f5b:3f15:a98e:85e7
10.96.0.49",Windows 10 Entreprise,Tanium Client,1
CMRLPT22027.sabc.cm,"fe80::3463:29df:5060:12fe
fe80::f9f0:a966:e258:f46
10.96.2.30
10.96.0.8",Windows 10 Professionnel,Tanium Client,1
CMRUCT23073.sabc.cm,"fe80::c731:936:37f4:f1f9
10.96.70.150",Windows 11 Entreprise,Tanium Client,1
CMRLPT23117.sabc.cm,"fe80::63a9:d4c5:2126:fe8f
10.100.0.108",Windows 10 Entreprise,Tanium Client,1
CMRUCT20064.sabc.cm,"fe80::e8c0:f0c3:1f62:f993
10.97.224.25",Windows 10 Entreprise,Tanium Client,1
SABCBIOM101.sabc.cm,"::1
10.100.1.225",Windows Server 2016 Standard,Tanium Client,1
CMRLPT19330.sabc.cm,"fe80::1802:18e8:c89e:8d0a
10.102.9.131",Windows 10 Entreprise,Tanium Client,1
CMRLPT22002.sabc.cm,"fe80::85ad:1c84:7bf:260f
10.100.0.44",Windows 10 Entreprise,Tanium Client,1
CMRLPT21129.sabc.cm,"fe80::d3f5:8a40:d245:ea8b
10.102.2.35",Windows 10 Entreprise,Tanium Client,1
CMRLPT19239.sabc.cm,"fe80::bf81:752b:4ae6:6c89
10.102.8.71",Windows 10 Entreprise,Tanium Client,1
CMRLPT23238.sabc.cm,"fe80::5abc:a98b:c49:8e05
10.100.4.1",Windows 11 Entreprise,Tanium Client,1
BALIFICH003.sabc.cm,"fe80::147b:6777:af66:867f
10.100.1.236",Windows Server 2019 Standard,Tanium Client,1
CMRUCT22070.sabc.cm,"fe80::4347:985f:37c4:b617
10.97.88.16",Windows 11 Entreprise,Tanium Client,1
CMRLPT19163.sabc.cm,"fe80::2347:b856:3770:3e4a
10.102.8.92",Windows 10 Entreprise,Tanium Client,1
CMRUCT20134.sabc.cm,"fe80::36f4:e946:8e92:2ba4
10.100.5.85",Windows 10 Entreprise,Tanium Client,1
CMRUCT21058.sabc.cm,"fe80::2bee:ef6b:d5f:782b
10.102.2.58",Windows 10 Entreprise,Tanium Client,1
cmruct23045.sabc.cm,"fe80::7b11:91c9:419e:8a84
10.96.2.2",Windows 10 Entreprise,Tanium Client,1
CMRLPT20109.sabc.cm,"fe80::516f:eb8e:567f:68f1
10.102.8.179",Windows 10 Entreprise,Tanium Client,1
CMRUCT25010.sabc.cm,"fe80::6769:ba9b:791a:979d
10.96.161.92",Windows 10 Professionnel,Tanium Client,1
CMRUCT21013.sabc.cm,"fe80::2ebe:832b:aa80:3750
10.102.33.225",Windows 10 Entreprise,Tanium Client,1
CMRLPT20064.sabc.cm,"fe80::aabe:3976:f568:ceb8
10.102.113.4",Windows 10 Professionnel,Tanium Client,1
CMRLPT23229.sabc.cm,"fe80::cccd:ba90:6e41:98cc
fe80::3844:5ebd:6969:6df2
169.254.224.168
10.100.0.93",Windows 10 Entreprise,Tanium Client,1
CMRUCT20046.sabc.cm,"fe80::7bbd:c0cd:63d3:53af
10.100.4.73",Windows 10 Entreprise,Tanium Client,1
CMRLPT24076.sabc.cm,"fe80::ebca:db3:57d5:15d5
10.96.161.40",Windows 11 Entreprise,Tanium Client,1
CMRLPT21161.sabc.cm,"fe80::8de:ca9a:1602:f162
10.100.0.200",Windows 11 Entreprise,Tanium Client,1
CMRLPT19203.sabc.cm,"fe80::47e4:1320:44c1:8b54
10.102.8.181",Windows 10 Entreprise,Tanium Client,1
CMRLPT22097.sabc.cm,"fe80::b802:8505:f4a5:d900
10.102.33.230
fe80::7a55:c0c2:34fc:12c1
169.254.109.253",Windows 10 Entreprise,Tanium Client,1
CMRUCT19256.sabc.cm,"fe80::9f0d:6784:9417:c685
10.102.2.78",Windows 10 Entreprise,Tanium Client,1
CMRUCT23164.sabc.cm,"fe80::eb2e:cf75:dbc1:166c
10.97.224.206",Windows 10 Entreprise,Tanium Client,1
CMRLPT23009.sabc.cm,"fe80::5d54:4e76:f06d:c3cc
10.216.11.37",Windows 10 Professionnel,Tanium Client,1
CMRLPT20036.sabc.cm,"fe80::2f62:c852:a854:3180
10.99.0.48",Windows 10 Entreprise,Tanium Client,1
SABCDIMO100.sabc.cm,"fe80::c7c8:4476:e268:af64
10.100.1.18",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21132.sabc.cm,"fe80::33e0:ecd0:c9c2:53d0
10.99.2.50",Windows 10 Entreprise,Tanium Client,1
CMRUCT23134.sabc.cm,"fe80::5c1f:39b6:e63e:408c
10.98.2.54",Windows 11 Entreprise,Tanium Client,1
SOCAMOS101.sabc.cm,"fe80::e11:1da6:16b8:8ce8
10.102.1.3",Windows Server 2019 Standard,Tanium Client,1
CMRLPT21146.sabc.cm,"fe80::12d1:1358:f05f:65a0
10.102.2.86",Windows 10 Entreprise,Tanium Client,1
CMRLPT24142.sabc.cm,"fe80::40d6:9644:77f9:32fe
10.100.0.140",Windows 11 Entreprise,Tanium Client,1
CMRLPT23131.sabc.cm,"fe80::90d2:e79a:506b:1df5
10.218.104.32
10.100.0.70
fe80::1ebb:45db:a2f:ff02",Windows 10 Entreprise,Tanium Client,1
CMRLPT22022.sabc.cm,"fe80::9c86:ef1c:9544:aea2
10.97.45.166",Windows 11 Entreprise,Tanium Client,1
CMRLPT22200.sabc.cm,"fe80::fb04:6007:2a6a:c5db
10.102.8.7",Windows 10 Entreprise,Tanium Client,1
CMRLPT19245.sabc.cm,"fe80::3785:c125:7be1:e46f
10.250.220.75",Windows 10 Entreprise,Tanium Client,1
CMRLPT20115.sabc.cm,"fe80::277a:6de0:801:92ca
fe80::28da:a7ab:6b45:cb8c
fe80::94e7:e36c:bbe9:39d4
192.168.220.1
192.168.11.1
10.102.8.224",Windows 10 Entreprise,Tanium Client,1
BALIDOMC001.sabc.cm,"fe80::65e9:fba6:9693:bc1d
10.100.1.22",Windows Server 2019 Standard,Tanium Client,1
CMRUCT21128.sabc.cm,"fe80::a8d5:7988:57c1:a51b
10.102.113.15",Windows 10 Entreprise,Tanium Client,1
CMRLPT22124.sabc.cm,"fe80::e968:768b:9587:2370
10.99.2.70",Windows 10 Entreprise,Tanium Client,1
CMRLPT24136.sabc.cm,"fe80::84d0:162c:ce14:6f06
192.168.1.114",Windows 10 Entreprise,Tanium Client,1
CMRUCT20007.sabc.cm,"fe80::4488:1468:fea6:9379
10.99.2.87",Windows 10 Entreprise,Tanium Client,1
CMRLPT20094.sabc.cm,"fe80::1660:8c21:9a07:d22c
10.100.6.159",Windows 10 Entreprise,Tanium Client,1
CMRUCT23112.sabc.cm,"fe80::df2d:6bb0:3dd8:65ac
10.98.36.10",Windows 10 Entreprise,Tanium Client,1
CMRLPT23205.sabc.cm,"fe80::31a9:6de1:7add:d754
10.102.8.139",Windows 10 Entreprise,Tanium Client,1
CMRUCT23206.sabc.cm,"fe80::3b36:fd3f:2f24:d712
10.97.60.11",Windows 11 Entreprise,Tanium Client,1
CMRLPT23081.sabc.cm,"fe80::4eb1:726f:6c96:a74d
10.96.75.22",Windows 11 Entreprise,Tanium Client,1
CMRLPT24183.sabc.cm,"fe80::5fe:6174:79b4:396
10.98.2.53",Windows 11 Entreprise,Tanium Client,1
